"Subject","Predicate","Object"
"http://parliament.uk/ontologies/description/describedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/description/DescribingThing"
"http://parliament.uk/ontologies/description/","http://purl.org/dc/terms/title","Description ontology"
"http://parliament.uk/ontologies/description/DescribedThing","http://www.w3.org/2000/01/rdf-schema#comment","A thing that has a description."
"nd1d2c4ac09724b94a9e3600b0c636fb6b1","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/description/describedBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates a thing that has a description to a thing that provides that description."
"http://parliament.uk/ontologies/description/","http://xmlns.com/foaf/0.1/maker","nd1d2c4ac09724b94a9e3600b0c636fb6b2"
"http://parliament.uk/ontologies/description/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/description/description.png"
"nd1d2c4ac09724b94a9e3600b0c636fb6b2","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/description/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/description/","http://purl.org/dc/terms/description","A model describing the connection between a thing having a description and the thing providing that description, for example: a procedure as described by an item of legislation, or a procedure route as described by a Standing Order."
"http://parliament.uk/ontologies/description/DescribingThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/description/"
"http://parliament.uk/ontologies/description/DescribedThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/description/"
"http://parliament.uk/ontologies/description/DescribingThing","http://www.w3.org/2000/01/rdf-schema#comment","A thing that provides a description."
"nd1d2c4ac09724b94a9e3600b0c636fb6b3","http://xmlns.com/foaf/0.1/name","Jayne Sunley"
"http://parliament.uk/ontologies/description/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/description/DescribingThing","http://www.w3.org/2000/01/rdf-schema#label","Describing thing"
"http://parliament.uk/ontologies/description/DescribingThing","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/description/describedBy","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/description/DescribedThing"
"http://parliament.uk/ontologies/description/describedBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/description/"
"http://parliament.uk/ontologies/description/describedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/description/","http://xmlns.com/foaf/0.1/maker","nd1d2c4ac09724b94a9e3600b0c636fb6b3"
"http://parliament.uk/ontologies/description/describedBy","http://www.w3.org/2000/01/rdf-schema#label","Described by"
"http://parliament.uk/ontologies/description/","http://xmlns.com/foaf/0.1/maker","nd1d2c4ac09724b94a9e3600b0c636fb6b1"
"http://parliament.uk/ontologies/description/","http://purl.org/dc/terms/created","2020-03-05"
"http://parliament.uk/ontologies/description/DescribedThing","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/description/DescribedThing","http://www.w3.org/2000/01/rdf-schema#label","Described thing"
"nd1d2c4ac09724b94a9e3600b0c636fb6b1","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
